CH1,CH2,CH3,CH4,Timestamp
-8999.358425648534,-5457.201186651364,-4837.687789484626,-7451.23995472549,1731337436.78765
-7946.053461656789,-5167.581530382042,-4784.053930735565,-6557.886419854127,1731337436.7876503
-7503.293028574903,-5658.070688373176,-5521.6048707042355,-6171.086715313955,1731337436.7876523
-7666.302546326304,-6602.299311887706,-6642.759942998644,-6279.462255896768,1731337436.7876525
-8229.94968546112,-7540.195188156329,-7634.316739690723,-6707.866608416429,1731337436.787655
-8873.464640709804,-8045.430347207002,-8060.6974528785795,-7188.79000027827,1731337436.787655
-9277.631383844884,-7873.787974565523,-7714.265752836131,-7460.728266474325,1731337436.7876573
-9238.888877369463,-7056.093812039588,-6697.462861920241,-7363.734933562577,1731337436.7876587
-8747.684120721184,-5899.668617077172,-5400.107409803197,-6902.612029280281,1731337436.7876606
-7998.105312496424,-4875.616687139962,-4353.570604722947,-6249.628910633735,1731337436.7876608
-7312.83693987783,-4424.67545162281,-4009.6561808041297,-5677.0228414312005,1731337436.7876625
-7008.739580416121,-4771.651338889729,-4550.273451686371,-5444.251465746667,1731337436.7876627
-7264.17662277678,-5837.623888511211,-5819.722407290246,-5690.803100273479,1731337436.7876651
-8048.218496184796,-7280.2485934565775,-7397.537822502665,-6381.387145917397,1731337436.7876656
-9135.641710906755,-8627.624861224554,-8761.13603669079,-7320.871535625774,1731337436.7876675
-10190.976390673313,-9444.81890093023,-9468.181880100165,-8225.31868081307,1731337436.787668
-10885.748739012517,-9482.506047777366,-9307.210719714407,-8820.81559440447,1731337436.7876697
-11013.619284518994,-8771.221531288698,-8381.053150272928,-8940.438379818108,1731337436.78767
-10569.784051024355,-7623.604348285124,-7084.810236422345,-8588.797489471268,1731337436.7876713
-9760.145848457702,-6520.5289698485285,-5958.717227583751,-7944.534505772404,1731337436.787676
-8924.036613058299,-5914.606012058444,-5464.701836318709,-7290.865805231966,1731337436.7876785
-8397.176978455856,-6043.37683937978,-5795.228637087159,-6900.696379052475,1731337436.7876787
-8377.314423874952,-6842.019326968119,-6806.675277651288,-6928.240356729366,1731337436.7876804
-8853.022010388784,-7984.695244937204,-8093.5841724080965,-7354.112467856146,1731337436.7876809
-9619.219409258105,-9019.206142743118,-9152.154159519821,-8001.094523251057,1731337436.7876823
-10361.709558698349,-9533.466549938545,-9562.462631195784,-8605.860213803127,1731337436.7876835
-10773.744385027327,-9302.34025845863,-9137.126697175205,-8916.902333484031,1731337436.7876852
-10668.873669382185,-8378.157899561338,-8000.734712631442,-8788.682245889679,1731337436.7876856
-10057.537923177704,-7089.032725812867,-6563.624681053683,-8242.81029667519,1731337436.7876875
-9154.838211175054,-5923.525941715576,-5373.400262502953,-7468.957248063758,1731337436.787688
-8303.5655525513,-5335.280028324574,-4893.091453490779,-6756.080922560766,1731337436.7876904
-7837.75917204842,-5557.504665337503,-5311.491766969673,-6378.478908370249,1731337436.7876909
-7948.547399124131,-6516.208146404475,-6476.83291127719,-6487.5374964457005,1731337436.7876923
-8613.351832633838,-7872.425737787038,-7971.645511744544,-7056.8866715002805,1731337436.7876923
-9612.583904996514,-9158.527496229857,-9277.7441046983,-7898.649594396353,1731337436.787694
-10615.94455145672,-9946.468576455489,-9960.12026436627,-8736.093666698784,1731337436.7876942
-11300.82176133059,-9996.179508529603,-9817.081407018006,-9303.012157572433,1731337436.787696
-11466.703316293657,-9347.328208755702,-8960.853684132919,-9439.69280509092,1731337436.7876964
-11112.559782406315,-8317.855920379981,-7791.47674645856,-9155.510693687946,1731337436.787698
-10444.22653579712,-7387.5319296866655,-6847.082908801734,-8629.911922780797,1731337436.7876983
-9796.617061359808,-7001.67584467493,-6581.151506565511,-8142.793964235112,1731337436.7876997
-9497.213648946956,-7386.337703542784,-7173.834072360769,-7960.304682733491,1731337436.7877
-9732.539058255032,-8462.903599973768,-8467.419405702502,-8227.188782285899,1731337436.7877028
-10477.51063356921,-9890.467053648084,-10041.550397068262,-8912.15488550812,1731337436.7877033
-11511.031900260597,-11200.484047511593,-11376.541121471673,-9823.234380403534,1731337436.7877047
-12500.934016812593,-11963.359954237938,-12035.625854024664,-10679.540423642844,1731337436.787705
-13122.665975708514,-11937.407919509336,-11815.782634640113,-11211.392028251663,1731337436.7877076
-13175.61928152293,-11162.64342854172,-10830.312532063574,-11258.211466245353,1731337436.787708
